index,group,report_text
16790,0,"murder and lynching at the west.—we copy from the chicago (illinois) american the following particulars respecting the murder of a mr. campbell, on rock river, and the occurrences that subsequently took place. the country below this and north of the illinois river has been for a long time and is now infested with a gang of blacklegs, counterfeiters, horse thieves and land pirates, and the good people have found our laws, or at least the administration of them, entirely inadequate to the protection of their property. consequently, they have been forced to form themselves into ""volunteer companies and anti-horse thief societies."""
16790,1,"he called his father to the door, when the driskells shot him dead, and fled. the volunteer companies of dekalb and winnebago counties immediately collected and went in search of the driskells. on tuesday they caught the old man and one of his sons; tried them by lynch law, and were convinced that they were the cause, if not the perpetrators, of the atrocious murder of mr. campbell. they sentenced them to immediate death, then placed the old man about ten rods off, and bade him prepare for death, giving him 5 minutes. when the time was up, about 50 balls went through him."
16791,0,"wholesale application of lynch law. a friend of ours, who arrived in the city yesterday, informs us of the manner in which that law—more tyrannical than the code of draco—lynch law—has, in this as well as in every other instance where it has been appealed to, been carried into effect. between the 5th and 10th inst., phillips county, in arkansas, about 40 miles below helena, and the county of coahoma, in mississippi, on the opposite side of the river, appear to have become the scene of mob and lynch law to a greater extent than has lately been recorded by the public press. a numerous gang of counterfeiters had their places of rendezvous and the abodes of their families in the above-named counties, to the great and continued annoyance of the citizens and the trading flatboatmen on the river. besides their encroachment on the peace and property of the public in that way, they of late turned their criminal industry to horse stealing to such an extent as to rouse the citizens of the whole neighborhood. the latter, headed by capt."
16792,0,"ogle county—lynch law.—the attorney general of the state of illinois, mr. lamborn, has published an opinion relative to the recent exercise of the lynch law in ogle county, in the case of the driskells. mr. lamborn regards the summary execution of the horse thieves as wholly unjustifiable and uncalled for in the exigencies of the case. he says, ""i have no doubt that when the indignation and frenzy of the occasion shall have passed away, the actors in the general tragedy will join in the general lamentation, which must pervade society wherever the bloody details are made known."""
16793,0,"illinois lynch law.—since our account of last week, with regard to the lynching tragedy in ogle county, illinois, we have received conflicting and contradictory statements through the papers, of the circumstances connected with that transaction.—from all that we are able to learn, it would seem the more prudent portion of the people are far from justifying the summary trial and execution of the two driskells, for the alleged murder of john campbell. a coroner's inquest has been held upon the bodies of the driskells, and the jury have returned a verdict of willful murder! this then, is likely to result in serious business to those who assumed to take the law into their own hands. we learn that immediately after the mob had wreaked their vengeance upon the lives of two driskells, they repaired to the residences of all the driskells and expelled the widowed and orphaned families, and burnt their houses to the ground."
16793,1,"we learn from the galena papers that the office of the ""rockford star"" was entered by the mob on the night of the 6th instant, and the type and fixtures so much injured and mutilated that the paper has been obliged to discontinue. the alleged cause for this transaction is that the star has spoken out in condemnation of the proceedings of the mob. in a good government, lynch law can never be justified. lynch law is the stepping stone to anarchy, misrule, and uncontrollable violence. to say that the laws of the states are inadequate to perform the demands of human justice is a libel upon our government and institutions. it is a foul charge, which the enemies of republicanism in europe have ever attempted to fasten upon us, but one which we in theory have ever repudiated and denied. the lynchers of the driskells plead in justification that the friends of good order were too weak to enforce the law, and bring the offenders to merited justice.—this cannot be true. the same power which was brought into requisition to bring the driskells before a lynch tribunal, was amply adequate to have brought them before a legal court of the state of illinois. the laws of illinois for the apprehension, conviction, and punishment of felons and murderers, are as speedy and as rigid as in any other state in the union."
16794,0,"the people of illinois have recently experienced the inevitable effects of lynch law, partly but, a loss, and have been trying upon the country patiently for further progress, regarding thieves and murderers, some of whom have been brought to justice. the chicago democrat says: the volunteer companies of de kalb and winnebago counties collected and went in pursuit of the driskells, caught the father and one of his sons, tried them by lynch law, convicted them of the murder of campbell and sentenced them to immediate death. they placed the old man then ten rods off, gave him five minutes to prepare for death, and at the end of that time, fifty balls went through him. the son was served in the same manner. two other men of the same party, who had made their escape, have since been caught and executed in the same manner as the above."
16795,0,"lynch law. lynch law is a law of blood. its decisions, in some instances, have a show of justice to slightly palliate its deeds of murder. but at the recent outbreak in kentucky, we are shocked beyond measure. it is the most unwarrantable act that has ever been perpetrated in the name of a bloody monster."
16795,1,"haman was hanged upon his own gallows. robespierre fell under the hands of those he had taught to murder in cold blood. let every man who aided in the kentucky lynching beware. they have not only wronged their country, but themselves and their children. other lynchers may long lie in wait for them.—[american sentinel.]"
16801,0,"& alabama note and 50 cents in specie was found in his watch pocket. capt. shaw, of the phoenix ferry boat, saw the body pass our city on saturday at 12 o'clock, and supposes it to be one of those who were lynched in arkansas."
16808,0,"c. is proverbial. from the natchitoches herald. texas—murder—lynch law—last of the yoakum gang. we have been put in possession of the facts in relation to this affair, which is one among the last texas tragedies. the citizens of jefferson county, it appears, have long suffered from their outrages; and from their numbers and recklessness of character, it seemed impossible to arrest their injuries by the hand of civil power. cattle have been stolen, robberies committed, and citizens insulted and murdered; but still, whenever they were arrested on the charge, the gang came forward with perjured oaths, and they were acquitted."
16810,0,"a notorious murderer, named lynch, was lately lynched; hung without judge or jury, at san felipe. he had killed one or two citizens, and wounded and threatened the lives of others. the texan privateer washington, recently captured and sent into galveston the schooner mary and elizabeth. she was landed with a large quantity of powder, lead, and other contraband articles of war, together with coin."
16813,0,"""the thief doth fear each bush an officer."" mr. torrey quietly withdrew from the floor of the hall to the gallery, from which he was ejected, and would have been lynched on the spot, had he not been arrested as an abolition incendiary by officers of justice,(!) and cast into prison. from a letter from john orvis. archibald burgess of hancock, n. h., pastor of a mobocratic church.—a non-resistant lynched by two church members, viz: joseph hill, jr., and nathan wood. dear orson: i have long wanted to write a line to you. i can sympathize with you in your almost single combat with the powers of darkness. we have met some in new hampshire, which more fully opened the wickedness of the clergy and churches than i have before seen."
16813,1,"they could not stand it, and rushed into the house. burgess looked on and skulked. not one person said a word against the lynching process, and said not a word. only he dared to say that oberlin perfection and non-resistance are identical. he told his people that they are a cloak for all ungodliness; that this was proved from the fact that the oberlinites lynched a young man under pretense of being perfect; and therefore are at liberty to do anything with impunity. in the afternoon he administered bread."
16822,0,"more lynch law.—two men named couch and maythe were lynched at williamstown, grant county, ky., last saturday week, for committing a murderous assault upon a drover, named utterbeck, whom they also robbed. the mob went to the jail in which they were confined, took them out by force, carried them to the spot where they had committed the outrage on the drover, and hung them both upon a tree. the mob seemed to have acted with the utmost order in this shocking tragedy, and even listened with respect to the remonstrance of an eminent lawyer against their proceedings. if anything can palliate such an outrage, it was the fact that one of the robbers was a notorious rascal, who had frequently escaped a legal punishment for similar crimes."
16832,0,"from the natchitoches herald. texas. murder—lynch law—last of the yoakum gang. we have been put in possession of the facts in relation to this affair, which is one among the last texas tragedies. the citizens of jefferson county, it appears, have long suffered from their outrages; and from their numbers and total recklessness of character, it seemed impossible to arrest their injuries by the hand of civil power. cattle had been stolen, robberies committed, and citizens insulted and murdered; but still, whenever any were arrested on the charge, the gang came forward with perjured oaths, and they were acquitted."
325,0,"law supreme. the mayor of mobile, like the mayor of savannah, has issued his proclamation taking grounds against vigilance committees and the practice of mob lynching, so much resorted to in the south. this is a timely movement. if the cotton states intended to set up a southern confederacy, their people must first discipline their minds to submit to law. without a greater respect for the law, they can establish no popular government at all."
327,0,"if the punishment is meant to be light, he may be tarred and feathered, rode on a rail, and then started to the nearest place to a steamboat or the cars, being abused all the way and started north on deck passage, and if he has no money, to depend on the charity of those he may happen to be with to keep from starving. this is no overdrawn picture, but it does not picture half the enormities practiced by the chivalry of the south. there have been scores of men lynched and hung in the south from no other cause than being northern republicans. although other charges, such as exciting slaves, and giving them poison and arms and ammunition to kill their masters with, are trumped up against them. the matter of hanging three men at friar's point, you have no doubt seen in the papers, also a denial of it afterwards by the southern press, as also that the letter purporting to be written by halle giving the account of it was a forgery. but i tell you that it is verily believed, a fact, that those three men were hung as stated, but they wish to cover that like the others."
4685,0,"many were leaving, and indian troubles deterred people from coming in. provisions high and scarce. a vigilance committee was about organizing to lynch a butcher, but it was promptly nipped in the bud. in reference to the war the colonel says, unless help in the way of provisions, etc., is furnished by california, the volunteers must disband and the whole fighting given up to two hundred regulars on foot, in which event he fears depopulation of the territory, as the signs of a long and bloody war are imminent. unless the american troops can meet the savages in a few days and give them a severe lesson in a great battle, the worst is anticipated. when leaving virginia city, col."
4685,1,"i had not been here but a few days, before i discovered the following precious extract going the rounds of the public journals: ""strange development.—a kansas letter to the pittsburg dispatch says, under date of leavenworth, june 26th, that j. m. alexander, of pennsylvania, was the originator of the pro-slavery vigilance committee"" which lynched phillips, and committed other outrages! the same correspondent says that the public odium resting upon the lynchers has caused the dissolution of the committee, and that they ""have been turned adrift by the hotel keeper with whom they boarded, and who was a pro-slavery man."" the writer knew he was lying when he penned that letter, but like a filthy-aproned scavenger, gathering and spreading offal, his foul instinct (soul he has not) led him to collect and scatter the putrid excrements of falsehood, in character with the hybrid horde, from mccrea, down to the old palsied wretch, himself. i remember, on election day, my friend h."
4686,0,"on monday, the 1st inst., a short time before sunset, a man was found hanging upon a tree on the premises where the unfortunate rochebave and connout, the two cattle thieves, who were lynched last autumn, carried on their nefarious business. upon investigation it appeared that on sunday evening, july 1st, about 10 o'clock, a band of men, some 25 in number, came into san antonio on horseback, entered the public house known as the ""antonio house,"" and forcibly dragged one john fanning therefrom. the people of the village were generally asleep, no noise or tumult was created, and nothing was said or heard of john fanning until he was discovered last evening hanging upon a tree as above stated. the deceased has for a long time been marked as a dissolute character, suspected of horse stealing, etc."
4686,1,"it is said that the deceased was very active in the hanging of rochebave and connout last autumn. what a comment on ""mob law!"" later.—since writing the above we are informed the mob hung the wrong man, a person evidently innocent of the supposed crime. we clip the above from the evening journal of yesterday. a gentleman residing in alameda county informs us that fanning, a young man of 31, had had a difficulty with squire white of that county, and had been heard to say that mr. white would not long possess his property (including a horse)."
4686,2,"the landlady suspected something wrong. soon after leaving the house, the party were joined by ten or fifteen other men, and they were not again seen. fanning was undoubtedly executed by them that night; but it is not known whether he had a trial according to the better usages of judge lynch, or whether he was strung up without investigation or delay. according to our information the case looks very much like murder. s. f."
4687,0,"more lynching in alameda county. on monday, the 1st inst., a short time before sunset, a man was found hanging upon a tree on the premises where the unfortunate rochebave and connout, the two cattle thieves who were lynched last autumn, carried on their nefarious business. upon investigation, it appeared that on sunday evening, july 1st, about 10 o'clock, a band of men, some twenty-five in number, came into san antonio on horseback, entered the public house known as the antonio house, and forcibly dragged one john fanning therefrom. the people of the village were generally asleep, no noise or tumult was created, and nothing was seen or heard of john fanning until he was discovered last evening hanging upon a tree as above stated. the deceased has for a long time been marked as a dissolute character, suspected of horse stealing, etc."
4687,1,"it is said that the deceased was very active in the hanging of rochebave and connout last autumn. what a comment on mob law! later.—since writing the above, we are informed that the mob hung the wrong man—a person evidently innocent of the supposed crime. evening journal."
5973,0,"lynch law in missouri.—the st. joseph gazette, of the 30th ult., has the following. some days since we noticed several cases of arson in holt county, and that an investigation on the part of a vigilance committee indicated the guilt of wm. walker, billiard keeper walker, and john duncan; we also noticed that duncan was under arrest for assault in which he severely injured mr."
5975,0,"a rebellion.—a mob in wright county, minnesota, having hung oscar f. jackson. after he had been tried, a man who had been arrested for participating in the lynching, gov. sibley has issued a proclamation, calling out the military to restore order in the county which is declared to be in a state of insurrection, and several companies have already proceeded to the seat of trouble. what sort of reception they will meet with is uncertain. a st."
5976,0,"lynching in missouri.—an escaped convict and noted horse thief, named simpson lexton, was hung lately at renick, in randolph county, mo., by a vigilance committee. he made a full confession of his crimes, and gave the names of several persons who had been accomplices with him and formed a gang whose robberies have been the cause of great trouble and loss to numerous farmers in that section of the state."
6881,0,"governor weller has declared that he will give one thousand dollars for any one of the persons engaged in the late mob hanging of pancho daniel, at los angeles. it is very proper for the governor to so remark, but what would his excellency do with one of them, if delivered in accordance with the price offered? in his inaugural the governor breathed forth a good deal of threatenings and slaughter against all principals, aiders, or abettors in lynch executions, but notwithstanding numerous persons have been illegally extirpated, our law-preserving magistrate hasn't caused any law-breaker to smoke, in any considerable degree. we suppose his excellency's observations at that time to be considered purely allegorical. we fear that in a moment of excitement our governor cut out more work than he will be able to make up during his term, and example has shown that, instead of the official atrocity threatened, he has erred in the possession of supplemental bowels of compassion."
6882,0,"weller for not suppressing mob violence, and declared, as well as we recollect, that, according to ""law and political science"" in which it seemed to intimate that it was amazingly well posted, all that the governor could do in cases of infractions of the law by mobs, was to wait until somebody resisted a civil process, which process it was the duty of subordinate officers to originate and enforce. it now concludes that there is a way in which the governor can act ab initio in the premises, and says: ""we direct the attention of the newly converted ""law and order"" press, that are so distressed at the alarming prevalence of ""mobocracy,"" and gov. weller's failure to enforce the law, to the fact that that functionary has issued a proclamation that may be more touching to their nervous systems than the late mob hangings were. here follows the proclamation: whereas, i have received satisfactory evidence that a band of lawless individuals did, on the 30th of nov., 1858, at los angeles, force the county jail and take therefrom a prisoner, one pancho daniel, and execute him without authority of law; and whereas, similar atrocious acts have been perpetrated in tuolumne, and some of the other counties of this state, now, therefore, by virtue of the authority in me vested by the constitution and laws of this state, i hereby offer a reward of one thousand dollars for the arrest and conviction of any, or either, of the persons or parties who have been engaged in these unlawful executions."" of course, this proclamation will simply amount to nothing, because, in order to enforce the law, it is necessary that public opinion should sustain it. in the eye of the law, every man engaged in those hanging operations is guilty of murder, but the people will not so consider it, and would refuse to allow one of their number to be interfered with on account of his connection with the transactions alluded to."
6882,1,"but, such being the condition of unpopular feeling, it is very doubtful whether governor weller has the nerve, despite his ""boasted disregard of popular clamor,"" to press to an extremity the high-sounding declaration of his inaugural manifesto, to the effect that he would ""maintain the supremacy of the law at all hazards."" it is his sworn duty nevertheless to do this very thing, irrespective of any declarations that he may have made pro or con. it is certainly high time that lynch law were done away with in this country, and much do we fear that it will not cease for many years, unless some terrible example is made. but who will take the responsibility of that example?"
6883,0,"cobb, passed down tuesday morning, bound for new orleans. the steamer return arrived from white river on saturday morning with the biggest trip of the season, including about three hundred passengers and two hundred bales of cotton.—memphis avalanche, 9th instant. threatened lynch law in larue county, ky.—the louisville courier of the 20th inst. says: we understand that for several days past the most intense excitement has prevailed in larue county, in consequence of the confession of a startling tragedy. john, a slave, the property of berry gundiff, who was arrested about one year since, charged with the murder of miss mary shaler, has confessed his participation in the crime, and implicates several other persons. this miss shaler was originally a resident of bardstown, but at the time of the murder was temporarily living in larue county with mrs. murphy. the negro has been twice tried, but each time the juries failed to agree. a few days since, the negro was induced to make a clean breast of the horrible affair, being threatened with lynching—persons telling him that the taylor county mob was coming to hang him. he says that four other persons were connected with him in the affair, he being a mere tool, and receiving two hundred dollars. the persons charged are mrs. murphy, her daughter, aged sixteen years, james mccavock and william pickrell. these parties were all immediately arrested. great excitement existed throughout the community, and so exasperated were the citizens that it was with much difficulty the officers could prevent the crowd from lynching the accused. in fact, pickrell was at one time swung up. the circumstances that led to the murder are said to be owing to the fact that miss shaler was supposed to have considerable sum of money. it is generally believed, however, that the true cause was that pickrell's brother was about to marry the unfortunate young woman, concerning whose virtue there were serious reports."
7519,0,"the arrival of the prometheus brings us fifteen days later intelligence from california, by way of the newly-opened route of san juan de nicaragua. the prominent, and by far the most conspicuous feature of the california news is the prevalence of what would be called on this side of the continent the supreme authority of judge lynch. in san francisco, it is the execution of the decrees of the vigilance committee of five hundred (not quite so ceremonious as the old venetian council), in the prompt punishment of criminals, and for the preservation of law and order. strange as it may sound in this longitude, these off-hand trials and summary executions are, in good faith, designed for the preservation, rather than the restoration, of law and order. the criminal may be a murderer, a horse thief, burglar, an incendiary, a common shoplifter, or petty rogue; if the vigilance committee catch him and convict him, he is instantly carried out and hung up at the nearest convenient tree, or beam, or rope and tackle."
7520,0,"the effects of the late fire in this city are yet perceptible, but the energy and enterprise of our citizens appears to be unabated. the burned district, although not entirely rebuilt, is pretty thickly studded with tenements of all descriptions, and brick and stone buildings of the most substantial character in process of erection in all parts."" the california papers abound with accounts of lynch law executions, of murders, robberies, revelations of crime, indian massacres, etc. a man named james stuart, convicted of murder and robbery, tried, condemned, and executed by the vigilance committee of san francisco, on the 7th of july. the affair had created great excitement at san francisco from the fact that the community is divided into two parties—one favoring the administration of the lynch code by the vigilance committee, and the other opposed to it. as far as we are enabled to judge by the papers, the former are still in the ascendancy, but how long this state of things will last we cannot say. the san francisco correspondent of the new york journal of commerce, referring to the vigilance committee of that place, says: ""california, and this city in particular, is passing through a fiery ordeal, resulting from the determined efforts of our citizens to rid themselves of the organized bands of thieves, robbers, and murderers who have so long infested this community. your readers have before been apprised of the execution of 'jenkins' by the vigilance committee on the night of the 10th june."
7521,0,"extraordinary circumstances justify extraordinary measures and the administration of punishment. the first act in the drama has been enacted, and the felon has paid with his life the penalty of his crimes. we have never been advocates of mob lynch law, snatching from the hands of legal tribunals the powers legitimately conferred upon them, of depriving any of the benefit of a fair and impartial trial by his fellow-men. yet, in the present condition of municipal affairs, we cannot conscientiously condemn the people for the course they have felt themselves compelled to adopt. deeply deploring the occasion for the exercise of such acts, we admit that necessity absolutely demanded the assumption of power. the trial and conviction of jenkins was not the act of an inflamed and excited mob."
7522,0,"established government there is wholly subverted, and in its stead substituted vigilance committees or committees of safety, which recognize no legal principles or precedents, save what is found in the unwritten and summary code of lynch law. but while all this is going on, alarming enough in principle, but, wonderful to say, creating no alarm in practice, the tribunals in all civil matters are recognized and obeyed, just as they are in more established and in older states. nay, even nice distinctions are drawn between the apparently conflicting jurisdictions of lynch law and the statute law, or law of the land; for we see in the st. marysville (cal.) herald before us that the vigilance committee of that place declined to interfere in a mexican brawl where knives had been used, and murder almost perpetrated, upon the ground that the case was not one for them, but for the statute law. the illustration is so singular and significant that we must give our readers the case in full."
7522,1,"but, adds the editor: ""justice ellet examined the men, and detained them till it can be ascertained if the wounds inflicted upon their unfortunate victim shall prove mortal. if so, the charge against the men will be found to have been with intent to kill. in either event, the trial must be prompt.—""must,"" in italics, significant of lynch law. 'we think the citizens will commend the action of the vigilance committee. the purpose of that committee is not to punish offenders of this class, but those who commit wanton attacks upon the peace and property of the community; such crimes as are more extended in their consequences, and the extent of which cannot be known when they are committed. it is no part of the committee's business to take cognizance of private quarrels, however fatal their consequences, except it be found that those whom the law makes the guardian of the citizen are lax or negligent of their duty."
7522,2,"but let not the proper tribunal delay this case; the trial must be prompt, and the punishment must speedily follow conviction, if the parties be convicted; otherwise the vigilance committee will yet take the matter into their own hands. the trial must be prompt and the punishment must speedily follow conviction.' the editor speaks by the authority of lynch; but in the distinctions here drawn between the jurisdiction of the court of lynch and the courts of law, we see the difference yet paid to the civil and statute law. what is remarkable, nay, astonishing, is that lynch law is becoming the popular law of the land. the san francisco herald, disproving the rumor that the governor is about to convoke an extraordinary session of the legislature in order to reinvigorate the laws of the land, exclaims: ""the truth is, we are getting on remarkably well! this city is more free from crime than it ever has been within recollection, and the measures being taken by the vigilance committee will make it still more so. we are fast and imperceptibly getting rid of all the vagabonds who have been plundering and murdering so long with impunity."
7522,3,"it is true that yet there are many things wanting, but what we do not want is an extra session of the last legislature. we have many difficulties to contend with, but really that would be burdening us beyond our strength and patience. ""a great deal is said about the prevalence of lynch law throughout the country. some three or four hundred warlike indians have put to death twelve horse thieves. well, there is nothing very deplorable in that. we are glad to know that there is a force of a sort to restrain such depredations in the lower country; and while the native californians have such force, we hope they will always call it into requisition against such villains."
7522,4,"it is, to be sure, to be regretted that the murder was committed, and that the melee was provoked; but nevertheless the death of those four persons was perfectly natural consequences, the necessity of which was to be deplored of course, but nevertheless natural and unavoidable. in this city a man has been executed for burglary—a man belonging to a gang of robbers, assassins, and incendiaries. lynch law, no doubt—but just law—punishment rendered necessary by the prevalence of crime. in all these cases we find no injustice, and in those in which the citizens are the avengers of the violated law, no haste, passion, or thirst for blood. a firm determination there is to mete out punishment where it is deserved, and that determination will be persevered in, whether there be an extra session of the legislature at vallejo or not."" this is cool, complacent even."
7522,5,"the criminals of chile, of peru, of all mexico, have fled there for an asylum. our states this side of the rocky mountains have no doubt disgorged their share of murderers, thieves, robbers, burglars, &c.—criminals whom our police and our laws could overawe here, but who run riot in california. such facts as these the californians offer as their apology for the subversion of the statute law, and the establishment of lynch law in its stead. it is a fearful experiment, the necessity for which no state of society that we have yet lived in or"
9645,0,"our journal, and forwarded through adams & co. or gregory's express, will be attended to without delay. lynch law—three indians executed. judge lynch has recently been holding his session in the western part of our county. he has pursued quite a different course in his official career to that of his contemporaries, and sometimes, perhaps not unjustly; though we hope the time has passed, when it can be said such things are necessary for the protection of the lives and property of our citizens, except in extreme cases. the hindrance has been, when it was almost impossible, in consequence of the growing character of our population, to convict a man of any crime by the regular courts of justice, it being impossible to obtain witnesses. but another consideration once combined with this to excite these summary calls of justice."
preciv1,0,"they had been gone some two or three minutes before he heard report of a pistol. witness, in the act of drinking a glass of beer, ran out and went to the people picking up deceased. the crowd was halloaing, 'lynch him!' 'lynch him!' 'there he goes!' 'there he goes!' witness started down the street when he met the prisoner, who was all atrimble."
preciv10,0,"five negroes, at the instigation of two white men, murdered mr. gibson, an overseer in monroe county, alabama, on the 9th ultimo. they were tried under judge lynch, who rendered a verdict of burning at the stake, which was put into execution. so vast was the desire to lie down in the grave of my husband and die, was the remark of a woman to an officer who discovered her digging into a newly made grave in burial ground. she had removed the earth to a depth of three feet. she was arrested, and the grave proved to be that of her late husband, a young man who died several days ago."
preciv100,0,"a barbarous wretch, named pendleton, captain of the american barque sarah park, has been committed on charge of murder at san francisco, for inhumanly treating one of his crew so that he died. he behaved to others with great cruelty, flogging them and putting brine on their wounds, claiming and starving them. when he was committed an immense crowd of indignant and excited citizens gathered and attempted to lynch him, but the officers succeeded in getting him safely into jail. the steamer contra costa, which ran to oakland, exploded last sunday while racing with another boat, her forepart being blown to atoms. several were killed and about thirty badly scalded. luckily her passengers had all rushed back to her stern to watch the other boat, or there would have been great destruction of life."
preciv101,0,"the sheriff of the mob was one hall, otherwise known as 'otium cum dignitate'-a name given him by dr. patterson. the lynching was in march or the first part of april, 1851. the scene of the trial was above where the brick church now is of the lynching the hill just beyond the present residence of dr. knox. the faithfulness of the account is undoubted-- a lynch trial in california.-a trial by the law of lynch is thus described by university graduate who was an eyewitness of it, and seems to approve of it more than our readers will be likely to do. his communication is dated from grass valley, nevada county, on the 23rd day of may in the present year. we are organizing, he says, little something like society in this rising town. first, there are few women in this place; then hitherto we have kept gambling houses out of it; and so, please god!"
preciv101,1,"here, as old swedenborg says of the spiritual world, disguise is difficult. men who have rid themselves of decorum and the scarce-felt fetters of civilized life, are here just what they will to be. i was present a month ago at the most solemn trial by lynch law of three men accused of stealing: they were found guilty, and a terrible sentence of lashing was passed, and executed on them. one of them was what we should call a gentleman by birth and education, and had served with credit as an officer in the late mexican war. there is an earnestness and a sincerity about the rogue and the good man, in fact about all and everything of california life, which i suppose the rest of the world cannot match. the merits of lynch law come on for discussion next week, in our barn, which we call lyceum. imagine the earnestness given to the usually impractical debates of a club, by the fact that there is not a member of it who has not probably taken part, in one of these terrible, but absolutely necessary scenes, and may have to do so tomorrow. you have in england but a vague idea what this lynching is, how absolutely essential it is at present, only life in the hills for some months could show you. i will describe to you what have seen. picture yourself on the top of hill in pine-forest the stumps of felled trees lying round wide row of log and shingled huts on the slopes of the hill, forming the town. on the hilltop crowd of rough looking men in broad, felt hats, red flannel shirts, and long boots."
